BAY,BAM,BTM,Gender,Score,RAY,RAM,RTM,D,RLD
10,1,121,M,5,5,5,65,-56,Severe
10,1,121,F,23,6,4,76,-45,Severe
6,10,82,M,60,9,2,110,28,Well
7,5,89,M,110,14,3,171,82,Well
10,10,130,M,91,12,4,148,18,Well
14,9,177,F,99,13,1,157,-20,Severe
5,8,68,F,89,12,1,145,77,Well
13,2,158,F,26,6,6,78,-80,Severe
7,7,91,F,33,6,11,83,-8,Severe
9,2,110,M,82,11,5,137,27,Well
16,0,192,F,19,6,1,73,-119,Severe
11,3,135,F,61,9,3,111,-24,Severe
5,3,63,F,21,6,2,74,11,Well
16,3,195,M,101,13,4,160,-35,Severe
12,10,154,F,81,11,4,136,-18,Severe
8,5,101,F,77,10,11,131,30,Well
17,3,207,F,11,5,8,68,-139,Severe
16,5,197,M,107,13,11,167,-30,Severe
12,8,152,F,17,6,0,72,-80,Severe
15,5,185,M,95,12,9,153,-32,Severe
18,10,226,M,16,5,11,71,-155,Severe
15,1,181,F,17,6,0,72,-109,Severe
17,1,205,F,8,5,6,66,-139,Severe
9,3,111,F,61,9,3,111,0,Neutral
11,2,134,F,70,10,2,122,-12,Severe
15,5,185,M,33,6,11,83,-102,Severe
7,4,88,M,79,11,1,133,45,Well
16,1,193,M,90,12,3,147,-46,Severe
12,1,145,M,27,6,7,79,-66,Severe
10,3,123,F,11,5,8,68,-55,Severe
17,2,206,M,44,7,9,93,-113,Severe
5,0,60,F,49,8,2,98,38,Well
18,1,217,F,44,7,9,93,-124,Severe
6,0,72,F,77,10,11,131,59,Well
10,6,126,F,82,11,5,137,11,Well
11,9,141,M,108,14,0,168,27,Well
6,1,73,F,40,7,5,89,16,Well
8,7,103,F,17,6,0,72,-31,Severe
5,2,62,F,76,10,10,130,68,Well
10,10,130,F,100,13,3,159,29,Well
17,8,212,M,18,6,1,73,-139,Severe
6,0,72,F,36,7,2,86,14,Well
17,9,213,M,40,7,5,89,-124,Severe
5,5,65,M,18,6,1,73,8,Well
18,10,226,M,30,6,9,81,-145,Severe
18,8,224,F,69,10,1,121,-103,Severe
11,9,141,M,72,10,4,124,-17,Severe
11,1,133,M,12,5,9,69,-64,Severe
14,0,168,M,42,7,7,91,-77,Severe
9,6,114,F,39,7,5,89,-25,Severe
13,5,161,F,98,13,0,156,-5,Mild
14,3,171,F,82,11,5,137,-34,Severe
18,6,222,M,10,5,7,67,-155,Severe
16,8,200,M,82,11,5,137,-63,Severe
11,5,137,M,103,13,6,162,25,Well
14,6,174,F,88,12,0,144,-30,Severe
7,3,87,F,66,9,9,117,30,Well
15,1,181,M,51,8,4,100,-81,Severe
18,11,227,F,72,10,4,124,-103,Severe
18,11,227,F,80,11,3,135,-92,Severe
14,3,171,F,9,5,7,67,-104,Severe
7,4,88,F,94,12,7,151,63,Well
5,1,61,M,12,5,9,69,8,Well
18,7,223,M,52,8,5,101,-122,Severe
6,4,76,F,108,14,0,168,92,Well
15,7,187,M,106,13,10,166,-21,Severe
18,9,225,M,52,8,5,101,-124,Severe
14,9,177,M,51,8,4,100,-77,Severe
12,3,147,F,40,7,5,89,-58,Severe
7,9,93,F,48,8,1,97,4,Good
18,7,223,M,27,6,7,79,-144,Severe
13,7,163,F,95,12,9,153,-10,Severe
5,6,66,M,29,6,8,80,14,Well
6,5,77,F,55,8,8,104,27,Well
9,2,110,F,22,6,3,75,-35,Severe
15,10,190,M,66,9,9,117,-73,Severe
7,11,95,F,56,8,9,105,10,Well
12,10,154,M,48,8,1,97,-57,Severe
12,9,153,F,55,8,8,104,-49,Severe
15,0,180,M,41,7,6,90,-90,Severe
14,10,178,F,8,5,6,66,-112,Severe
8,7,103,F,86,11,10,142,39,Well
12,5,149,M,52,8,5,101,-48,Severe
13,10,166,M,84,11,7,139,-27,Severe
12,4,148,F,58,9,0,108,-40,Severe
5,9,69,M,70,10,2,122,53,Well
10,3,123,F,60,9,2,110,-13,Severe
12,10,154,F,96,12,10,154,0,Neutral
10,4,124,F,103,13,6,162,38,Well
9,2,110,M,2,5,3,63,-47,Severe
13,2,158,M,49,8,2,98,-60,Severe
7,0,84,M,78,11,0,132,48,Well
12,7,151,F,61,9,3,111,-40,Severe
9,3,111,F,10,5,7,67,-44,Severe
17,1,205,F,95,12,9,153,-52,Severe
17,0,204,M,16,5,11,71,-133,Severe
10,1,121,F,6,5,5,65,-56,Severe
8,9,105,F,103,13,6,162,57,Well
10,11,131,F,29,6,8,80,-51,Severe
18,11,227,F,73,10,6,126,-101,Severe
8,1,97,F,17,6,0,72,-25,Severe
16,6,198,F,14,5,10,70,-128,Severe
10,3,123,M,38,7,4,88,-35,Severe
18,10,226,M,34,7,0,84,-142,Severe
13,5,161,M,29,6,8,80,-81,Severe
13,3,159,F,67,9,10,118,-41,Severe
8,2,98,F,67,9,10,118,20,Well
9,11,119,F,20,6,2,74,-45,Severe
5,11,71,M,49,8,2,98,27,Well
16,10,202,F,13,5,9,69,-133,Severe
11,2,134,M,69,10,1,121,-13,Severe
7,3,87,F,5,5,5,65,-22,Severe
15,4,184,M,73,10,6,126,-58,Severe
18,4,220,F,95,12,9,153,-67,Severe
14,7,175,M,64,9,7,115,-60,Severe
17,3,207,M,75,10,9,129,-78,Severe
10,3,123,F,83,11,6,138,15,Well
6,11,83,M,80,11,3,135,52,Well
8,1,97,F,57,8,10,106,9,Well
8,3,99,M,37,7,3,87,-12,Severe
14,1,169,M,75,10,9,129,-40,Severe
9,11,119,F,78,11,0,132,13,Well
10,7,127,F,37,7,3,87,-40,Severe
6,9,81,F,34,7,0,84,3,Good
6,3,75,M,75,10,9,129,54,Well
14,11,179,M,14,5,10,70,-109,Severe
9,4,112,M,11,5,8,68,-44,Severe
7,2,86,M,22,6,3,75,-11,Severe
10,7,127,F,66,9,9,117,-10,Severe
8,3,99,F,60,9,2,110,11,Well
17,9,213,M,67,9,10,118,-95,Severe
9,3,111,M,3,5,3,63,-48,Severe
16,7,199,M,91,12,4,148,-51,Severe
17,0,204,F,78,11,0,132,-72,Severe
6,8,80,F,70,10,2,122,42,Well
8,1,97,F,82,11,5,137,40,Well
16,11,203,M,60,9,2,110,-93,Severe
5,9,69,M,53,8,6,102,33,Well
13,3,159,M,43,7,8,92,-67,Severe
13,3,159,F,34,7,0,84,-75,Severe
15,2,182,M,48,8,1,97,-85,Severe
8,3,99,F,11,5,8,68,-31,Severe
12,3,147,M,67,9,10,118,-29,Severe
9,11,119,M,44,7,9,93,-26,Severe
15,0,180,M,8,5,6,66,-114,Severe
13,11,167,M,91,12,4,148,-19,Severe
8,8,104,M,8,5,6,66,-38,Severe
7,3,87,M,84,11,7,139,52,Well
15,9,189,F,86,11,10,142,-47,Severe
12,6,150,M,5,5,5,65,-85,Severe
6,2,74,F,74,10,7,127,53,Well
14,5,173,F,64,9,7,115,-58,Severe
16,11,203,M,4,5,4,64,-139,Severe
12,1,145,F,49,8,2,98,-47,Severe
16,7,199,F,107,13,11,167,-32,Severe
14,8,176,F,60,9,2,110,-66,Severe
18,3,219,M,72,10,4,124,-95,Severe
14,8,176,F,95,12,9,153,-23,Severe
13,3,159,M,108,14,0,168,9,Well
17,10,214,M,39,7,5,89,-125,Severe
14,2,170,M,22,6,3,75,-95,Severe
17,11,215,F,77,10,11,131,-84,Severe
17,10,214,M,108,14,0,168,-46,Severe
12,2,146,M,64,9,7,115,-31,Severe
14,11,179,M,38,7,4,88,-91,Severe
10,8,128,M,63,9,6,114,-14,Severe
14,3,171,F,93,12,6,150,-21,Severe
11,5,137,M,101,13,4,160,23,Well
15,10,190,F,56,8,9,105,-85,Severe
7,6,90,M,101,13,4,160,70,Well
8,3,99,M,5,5,5,65,-34,Severe
14,3,171,F,55,8,8,104,-67,Severe
16,3,195,M,62,9,4,112,-83,Severe
11,4,136,F,63,9,6,114,-22,Severe
6,3,75,F,62,9,4,112,37,Well
8,5,101,M,62,9,4,112,11,Well
