BAY,BAM,BTM ,Gender,Score,AY,AM,ATM,D,ALD
13,7,163,F,8,7,0,84,-79,Severe
13,10,166,F,9,7,6,90,-76,Severe
6,0,72,M,12,11,6,138,66,Well
12,2,146,M,13,12,6,150,4,Good
7,7,91,F,12,11,6,138,47,Well
14,11,179,F,12,11,6,138,-41,Severe
13,4,160,F,6,6,6,78,-82,Severe
14,5,173,F,6,6,6,78,-95,Severe
10,3,123,F,7,6,6,78,-45,Severe
18,7,223,F,8,7,0,84,-139,Severe
15,4,184,F,10,8,6,102,-82,Severe
10,3,123,F,13,12,6,150,27,Well
18,9,225,M,8,7,0,84,-141,Severe
12,6,150,F,10,8,6,102,-48,Severe
9,10,118,F,8,7,0,84,-34,Severe
5,9,69,M,12,11,6,138,69,Well
16,11,203,M,7,6,6,78,-125,Severe
15,5,185,M,6,6,6,78,-107,Severe
17,11,215,F,15,16,0,192,-23,Severe
12,3,147,M,9,7,6,90,-57,Severe
6,7,79,M,12,11,6,138,59,Well
17,5,209,M,12,11,6,138,-71,Severe
5,7,67,F,6,6,6,78,11,Well
8,9,105,F,12,11,6,138,33,Well
8,2,98,M,8,7,0,84,-14,Severe
16,4,196,M,15,16,0,192,-4,Mild
17,5,209,M,11,10,0,120,-89,Severe
14,1,169,F,9,7,6,90,-79,Severe
9,8,116,F,14,14,0,168,52,Well
7,4,88,F,12,11,6,138,50,Well
7,8,92,F,11,10,0,120,28,Well
14,10,178,M,6,6,6,78,-100,Severe
13,6,162,F,11,10,0,120,-42,Severe
13,5,161,F,6,6,6,78,-83,Severe
18,10,226,F,6,6,6,78,-148,Severe
17,11,215,M,15,16,0,192,-23,Severe
9,5,113,M,10,8,6,102,-11,Severe
16,9,201,M,7,6,6,78,-123,Severe
17,10,214,F,14,14,0,168,-46,Severe
12,3,147,M,7,6,6,78,-69,Severe
7,3,87,M,14,14,0,168,81,Well
11,5,137,M,13,12,6,150,13,Well
10,0,120,F,6,6,6,78,-42,Severe
15,8,188,F,11,10,0,120,-68,Severe
10,4,124,F,10,8,6,102,-22,Severe
11,9,141,F,14,14,0,168,27,Well
10,4,124,M,14,14,0,168,44,Well
10,3,123,M,13,12,6,150,27,Well
11,2,134,M,10,8,6,102,-32,Severe
8,7,103,F,11,10,0,120,17,Well
8,2,98,M,11,10,0,120,22,Well
6,4,76,F,6,6,6,78,2,Good
9,7,115,F,8,7,0,84,-31,Severe
16,8,200,M,6,6,6,78,-122,Severe
9,4,112,M,9,7,6,90,-22,Severe
12,0,144,F,13,12,6,150,6,Well
10,6,126,F,10,8,6,102,-24,Severe
11,10,142,M,6,6,6,78,-64,Severe
10,10,130,F,14,14,0,168,38,Well
5,0,60,M,11,10,0,120,60,Well
14,9,177,F,6,6,6,78,-99,Severe
7,6,90,F,10,8,6,102,12,Well
18,6,222,F,15,16,0,192,-30,Severe
12,8,152,M,6,6,6,78,-74,Severe
8,9,105,M,14,14,0,168,63,Well
16,3,195,M,14,14,0,168,-27,Severe
6,1,73,F,9,7,6,90,17,Well
16,6,198,M,12,11,6,138,-60,Severe
10,10,130,M,14,14,0,168,38,Well
14,8,176,F,6,6,6,78,-98,Severe
13,9,165,F,9,7,6,90,-75,Severe
5,8,68,F,12,11,6,138,70,Well
15,2,182,F,9,7,6,90,-92,Severe
6,6,78,M,6,6,6,78,0,Neutral
10,8,128,F,11,10,0,120,-8,Severe
15,9,189,M,13,12,6,150,-39,Severe
6,6,78,F,6,6,6,78,0,Neutral
10,4,124,F,14,14,0,168,44,Well
17,2,206,F,10,8,6,102,-104,Severe
6,8,80,F,11,10,0,120,40,Well
6,9,81,F,9,7,6,90,9,Well
15,0,180,F,15,16,0,192,12,Well
17,8,212,F,8,7,0,84,-128,Severe
17,2,206,M,13,12,6,150,-56,Severe
5,4,64,M,11,10,0,120,56,Well
8,11,107,F,14,14,0,168,61,Well
10,10,130,M,12,11,6,138,8,Well
9,6,114,M,12,11,6,138,24,Well
14,0,168,F,15,16,0,192,24,Well
17,8,212,M,12,11,6,138,-74,Severe
11,2,134,F,11,10,0,120,-14,Severe
14,1,169,F,12,11,6,138,-31,Severe
11,6,138,M,9,7,6,90,-48,Severe
9,5,113,M,11,10,0,120,7,Well
17,5,209,M,6,6,6,78,-131,Severe
13,3,159,M,12,11,6,138,-21,Severe
11,0,132,F,15,16,0,192,60,Well
5,2,62,M,10,8,6,102,40,Well
7,6,90,F,15,16,0,192,102,Well
11,11,143,F,13,12,6,150,7,Well
12,5,149,F,7,6,6,78,-71,Severe
16,5,197,F,13,12,6,150,-47,Severe
8,7,103,M,8,7,0,84,-19,Severe
17,9,213,M,7,6,6,78,-135,Severe
12,3,147,F,7,6,6,78,-69,Severe
17,9,213,F,11,10,0,120,-93,Severe
16,7,199,F,6,6,6,78,-121,Severe
8,6,102,M,7,6,6,78,-24,Severe
7,10,94,M,6,6,6,78,-16,Severe
18,11,227,F,10,8,6,102,-125,Severe
12,5,149,M,8,7,0,84,-65,Severe
9,1,109,F,14,14,0,168,59,Well
9,1,109,F,13,12,6,150,41,Well
8,3,99,M,9,7,6,90,-9,Severe
6,8,80,F,10,8,6,102,22,Well
5,0,60,F,12,11,6,138,78,Well
5,8,68,M,6,6,6,78,10,Well
17,10,214,F,13,12,6,150,-64,Severe
11,8,140,F,14,14,0,168,28,Well
13,7,163,F,12,11,6,138,-25,Severe
17,11,215,M,13,12,6,150,-65,Severe
9,1,109,F,11,10,0,120,11,Well
6,8,80,F,6,6,6,78,-2,Mild
13,0,156,M,15,16,0,192,36,Well
14,2,170,M,11,10,0,120,-50,Severe
12,4,148,M,13,12,6,150,2,Good
7,1,85,M,12,11,6,138,53,Well
16,9,201,F,14,14,0,168,-33,Severe
12,2,146,F,10,8,6,102,-44,Severe
15,5,185,F,15,16,0,192,7,Well
18,4,220,M,7,6,6,78,-142,Severe
12,6,150,F,7,6,6,78,-72,Severe
18,11,227,F,13,12,6,150,-77,Severe
7,5,89,F,10,8,6,102,13,Well
6,3,75,F,12,11,6,138,63,Well
17,1,205,M,8,7,0,84,-121,Severe
7,2,86,M,10,8,6,102,16,Well
15,0,180,F,10,8,6,102,-78,Severe
12,7,151,F,8,7,0,84,-67,Severe
8,8,104,F,15,16,0,192,88,Well
5,7,67,F,14,14,0,168,101,Well
6,8,80,F,8,7,0,84,4,Good
13,10,166,M,8,7,0,84,-82,Severe
17,11,215,M,9,7,6,90,-125,Severe
10,10,130,F,15,16,0,192,62,Well
12,0,144,M,15,16,0,192,48,Well
12,10,154,F,6,6,6,78,-76,Severe
6,3,75,F,8,7,0,84,9,Well
11,11,143,M,10,8,6,102,-41,Severe
7,3,87,F,10,8,6,102,15,Well
17,2,206,M,9,7,6,90,-116,Severe
5,10,70,F,10,8,6,102,32,Well
17,2,206,M,6,6,6,78,-128,Severe
14,7,175,M,12,11,6,138,-37,Severe
5,1,61,F,11,10,0,120,59,Well
17,2,206,F,14,14,0,168,-38,Severe
9,0,108,F,13,12,6,150,42,Well
8,10,106,M,15,16,0,192,86,Well
16,3,195,F,8,7,0,84,-111,Severe
13,0,156,F,15,16,0,192,36,Well
10,11,131,M,6,6,6,78,-53,Severe
16,9,201,M,8,7,0,84,-117,Severe
8,2,98,M,13,12,6,150,52,Well
7,4,88,M,6,6,6,78,-10,Severe
11,4,136,M,12,11,6,138,2,Good
13,6,162,F,7,6,6,78,-84,Severe
5,2,62,F,6,6,6,78,16,Well
14,3,171,M,7,6,6,78,-93,Severe
13,7,163,M,8,7,0,84,-79,Severe
12,11,155,F,12,11,6,138,-17,Severe
13,11,167,M,15,16,0,192,25,Well
11,0,132,F,6,6,6,78,-54,Severe
7,6,90,M,14,14,0,168,78,Well
10,11,131,F,11,10,0,120,-11,Severe
10,5,125,F,7,6,6,78,-47,Severe
10,3,123,M,14,14,0,168,45,Well
15,11,191,M,11,10,0,120,-71,Severe
9,9,117,M,12,11,6,138,21,Well
11,10,142,F,8,7,0,84,-58,Severe
15,2,182,M,9,7,6,90,-92,Severe
17,2,206,F,11,10,0,120,-86,Severe
7,9,93,F,15,16,0,192,99,Well
6,6,78,F,11,10,0,120,42,Well
8,0,96,M,6,6,6,78,-18,Severe
10,1,121,M,12,11,6,138,17,Well
5,11,71,M,14,14,0,168,97,Well
18,9,225,F,12,11,6,138,-87,Severe
18,4,220,F,12,11,6,138,-82,Severe
13,3,159,F,14,14,0,168,9,Well
7,1,85,F,12,11,6,138,53,Well
8,2,98,F,9,7,6,90,-8,Severe
6,10,82,M,15,16,0,192,110,Well
14,5,173,M,13,12,6,150,-23,Severe
15,7,187,F,14,14,0,168,-19,Severe
16,0,192,M,9,7,6,90,-102,Severe
18,5,221,M,15,16,0,192,-29,Severe
8,1,97,F,6,6,6,78,-19,Severe
13,5,161,M,14,14,0,168,7,Well
16,3,195,M,10,8,6,102,-93,Severe
16,11,203,F,9,7,6,90,-113,Severe
8,11,107,F,11,10,0,120,13,Well
16,10,202,M,8,7,0,84,-118,Severe
16,10,202,M,11,10,0,120,-82,Severe
10,11,131,F,6,6,6,78,-53,Severe
8,4,100,M,6,6,6,78,-22,Severe
5,4,64,F,10,8,6,102,38,Well
5,1,61,M,8,7,0,84,23,Well
13,6,162,F,6,6,6,78,-84,Severe
12,10,154,M,7,6,6,78,-76,Severe
15,3,183,F,7,6,6,78,-105,Severe
15,2,182,F,12,11,6,138,-44,Severe
8,8,104,F,14,14,0,168,64,Well
16,7,199,M,13,12,6,150,-49,Severe
5,8,68,M,13,12,6,150,82,Well
6,1,73,M,9,7,6,90,17,Well
18,10,226,M,12,11,6,138,-88,Severe
9,11,119,M,6,6,6,78,-41,Severe
8,4,100,M,9,7,6,90,-10,Severe
17,2,206,F,9,7,6,90,-116,Severe
9,3,111,M,13,12,6,150,39,Well
7,2,86,F,8,7,0,84,-2,Mild
13,8,164,M,10,8,6,102,-62,Severe
6,10,82,M,8,7,0,84,2,Good
18,11,227,M,14,14,0,168,-59,Severe
18,8,224,F,15,16,0,192,-32,Severe
14,6,174,F,12,11,6,138,-36,Severe
8,5,101,M,13,12,6,150,49,Well
11,4,136,F,13,12,6,150,14,Well
7,6,90,F,11,10,0,120,30,Well
11,3,135,M,10,8,6,102,-33,Severe
12,5,149,F,12,11,6,138,-11,Severe
14,9,177,M,9,7,6,90,-87,Severe
15,4,184,F,6,6,6,78,-106,Severe
17,1,205,M,15,16,0,192,-13,Severe
18,1,217,F,7,6,6,78,-139,Severe
14,4,172,F,10,8,6,102,-70,Severe
13,4,160,F,13,12,6,150,-10,Severe
5,8,68,M,15,16,0,192,124,Well
13,1,157,F,9,7,6,90,-67,Severe
6,10,82,F,11,10,0,120,38,Well
5,10,70,M,14,14,0,168,98,Well
12,11,155,F,10,8,6,102,-53,Severe
11,0,132,M,15,16,0,192,60,Well
6,6,78,M,14,14,0,168,90,Well
16,1,193,M,13,12,6,150,-43,Severe
8,10,106,M,11,10,0,120,14,Well
13,2,158,M,9,7,6,90,-68,Severe
7,11,95,F,10,8,6,102,7,Well
15,3,183,F,12,11,6,138,-45,Severe
8,4,100,M,11,10,0,120,20,Well
8,6,102,M,10,8,6,102,0,Neutral
18,8,224,F,6,6,6,78,-146,Severe
6,6,78,F,9,7,6,90,12,Well
9,10,118,M,7,6,6,78,-40,Severe
11,10,142,F,11,10,0,120,-22,Severe
17,7,211,F,11,10,0,120,-91,Severe
13,2,158,F,15,16,0,192,34,Well
17,6,210,M,15,16,0,192,-18,Severe
7,9,93,F,9,7,6,90,-3,Mild
6,8,80,F,13,12,6,150,70,Well
8,9,105,F,9,7,6,90,-15,Severe
10,9,129,M,6,6,6,78,-51,Severe
12,1,145,F,11,10,0,120,-25,Severe
5,2,62,M,13,12,6,150,88,Well
12,0,144,F,11,10,0,120,-24,Severe
10,10,130,F,11,10,0,120,-10,Severe
8,8,104,F,7,6,6,78,-26,Severe
12,10,154,M,10,8,6,102,-52,Severe
9,3,111,M,9,7,6,90,-21,Severe
15,7,187,M,10,8,6,102,-85,Severe
9,9,117,F,6,6,6,78,-39,Severe
7,10,94,M,14,14,0,168,74,Well
17,7,211,M,13,12,6,150,-61,Severe
8,1,97,M,11,10,0,120,23,Well
15,8,188,F,13,12,6,150,-38,Severe
8,1,97,F,10,8,6,102,5,Good
11,8,140,M,13,12,6,150,10,Well
13,9,165,M,8,7,0,84,-81,Severe
17,3,207,F,6,6,6,78,-129,Severe
10,8,128,F,8,7,0,84,-44,Severe
18,1,217,M,7,6,6,78,-139,Severe
13,10,166,F,13,12,6,150,-16,Severe
18,7,223,F,11,10,0,120,-103,Severe
11,9,141,M,11,10,0,120,-21,Severe
9,8,116,M,13,12,6,150,34,Well
14,8,176,M,10,8,6,102,-74,Severe
10,5,125,M,10,8,6,102,-23,Severe
12,2,146,M,9,7,6,90,-56,Severe
18,11,227,M,8,7,0,84,-143,Severe
13,1,157,F,10,8,6,102,-55,Severe
17,8,212,M,15,16,0,192,-20,Severe
15,5,185,F,7,6,6,78,-107,Severe
6,4,76,M,15,16,0,192,116,Well
15,1,181,M,7,6,6,78,-103,Severe
16,5,197,M,14,14,0,168,-29,Severe
6,4,76,F,9,7,6,90,14,Well
11,3,135,M,6,6,6,78,-57,Severe
11,3,135,M,9,7,6,90,-45,Severe
6,5,77,M,14,14,0,168,91,Well
11,4,136,F,12,11,6,138,2,Good
11,2,134,F,15,16,0,192,58,Well
10,8,128,M,9,7,6,90,-38,Severe
7,8,92,F,9,7,6,90,-2,Mild
11,4,136,F,11,10,0,120,-16,Severe
11,1,133,F,14,14,0,168,35,Well
16,0,192,M,7,6,6,78,-114,Severe
5,11,71,F,7,6,6,78,7,Well
10,5,125,F,13,12,6,150,25,Well
14,10,178,F,10,8,6,102,-76,Severe
16,5,197,F,6,6,6,78,-119,Severe
12,7,151,F,7,6,6,78,-73,Severe
8,7,103,M,12,11,6,138,35,Well
7,2,86,F,13,12,6,150,64,Well
7,5,89,F,7,6,6,78,-11,Severe
7,5,89,M,7,6,6,78,-11,Severe
8,11,107,M,14,14,0,168,61,Well
12,5,149,M,12,11,6,138,-11,Severe
17,4,208,F,6,6,6,78,-130,Severe
5,10,70,F,15,16,0,192,122,Well
11,5,137,M,12,11,6,138,1,Good
16,7,199,M,12,11,6,138,-61,Severe
7,0,84,M,14,14,0,168,84,Well
10,8,128,F,10,8,6,102,-26,Severe
11,4,136,M,15,16,0,192,56,Well
5,3,63,M,6,6,6,78,15,Well
7,10,94,F,13,12,6,150,56,Well
18,5,221,M,11,10,0,120,-101,Severe
13,2,158,F,14,14,0,168,10,Well
7,4,88,F,11,10,0,120,32,Well
12,8,152,M,11,10,0,120,-32,Severe
10,6,126,M,15,16,0,192,66,Well
7,1,85,M,13,12,6,150,65,Well
9,10,118,F,12,11,6,138,20,Well
11,3,135,M,11,10,0,120,-15,Severe
14,5,173,M,10,8,6,102,-71,Severe
13,4,160,M,11,10,0,120,-40,Severe
14,1,169,F,6,6,6,78,-91,Severe
17,5,209,F,8,7,0,84,-125,Severe
18,0,216,F,9,7,6,90,-126,Severe
7,8,92,M,8,7,0,84,-8,Severe
9,5,113,M,14,14,0,168,55,Well
12,10,154,F,11,10,0,120,-34,Severe
