BAY,BAM,Gender,Score,SAY,SAM,SLD
17,1,M,62,11,2,Severe
12,8,F,32,8,2,Severe
10,7,M,34,8,4,Severe
13,10,F,1,5,1,Severe
6,11,M,5,5,5,Severe
14,7,M,54,10,4,Severe
7,1,F,28,7,8,Well
9,7,F,35,8,5,Severe
16,9,F,41,9,1,Severe
6,1,M,62,11,2,Well
14,3,M,44,9,4,Severe
8,6,F,52,10,2,Well
15,4,M,58,10,8,Severe
10,7,F,13,6,3,Severe
9,10,F,77,12,7,Well
12,2,M,81,13,1,Well
18,4,F,98,14,8,Severe
5,8,M,12,6,2,Well
12,10,M,28,7,8,Severe
11,2,F,52,10,2,Severe
16,4,M,75,12,5,Severe
7,9,F,86,13,6,Well
17,4,F,100,15,0,Severe
14,10,M,79,12,9,Severe
14,2,M,17,6,7,Severe
14,3,F,7,5,7,Severe
9,7,M,69,11,9,Well
9,4,M,52,10,2,Well
13,3,F,58,10,8,Severe
10,4,F,19,6,9,Severe
5,5,M,12,6,2,Well
5,4,F,53,10,3,Well
11,5,F,100,15,0,Well
14,2,M,26,7,6,Severe
18,11,M,64,11,4,Severe
16,1,M,9,5,9,Severe
8,9,M,6,5,6,Severe
18,4,F,41,9,1,Severe
17,5,F,21,7,1,Severe
6,10,F,33,8,3,Well
6,4,M,32,8,2,Well
9,5,F,90,14,0,Well
15,9,M,54,10,4,Severe
12,3,F,96,14,6,Well
6,11,F,44,9,4,Well
6,8,M,12,6,2,Severe
16,10,M,1,5,1,Severe
7,5,M,8,5,8,Severe
13,11,F,14,6,4,Severe
6,0,M,28,7,8,Well
5,5,F,33,8,3,Well
6,1,M,80,13,0,Well
12,6,M,52,10,2,Severe
10,9,F,15,6,5,Severe
11,7,M,83,13,3,Well
5,11,M,56,10,6,Well
17,9,F,64,11,4,Severe
16,2,M,54,10,4,Severe
9,7,M,76,12,6,Well
9,4,F,11,6,1,Severe
11,4,M,67,11,7,Good
14,2,F,68,11,8,Severe
9,8,M,97,14,7,Well
7,0,M,2,5,2,Severe
7,8,F,76,12,6,Well
10,2,M,11,6,1,Severe
9,3,F,64,11,4,Well
15,4,M,82,13,2,Severe
9,9,F,47,9,7,Mild
