BAY,BAM,BTM,Gender,Score,SAY,SAM,STM,Diff,SLD
5,0,60,F,0,5,0,60,0,Neutral
5,0,60,F,1,5,1,61,1,Good
5,0,60,F,2,5,2,62,2,Good
5,0,60,F,3,5,3,63,3,Good
5,0,60,F,4,5,4,64,4,Good
5,0,60,F,5,5,5,65,5,Good
5,0,60,F,6,5,6,66,6,Well
5,0,60,F,7,5,7,67,7,Well
5,0,60,F,8,5,8,68,8,Well
5,0,60,F,9,5,9,69,9,Well
5,0,60,F,10,6,0,72,12,Well
5,0,60,F,11,6,1,73,13,Well
5,0,60,F,12,6,2,74,14,Well
5,0,60,F,13,6,3,75,15,Well
5,0,60,F,14,6,4,76,16,Well
5,0,60,F,15,6,5,77,17,Well
5,0,60,F,16,6,6,78,18,Well
5,0,60,F,17,6,7,79,19,Well
5,0,60,F,18,6,8,80,20,Well
5,0,60,F,19,6,9,81,21,Well
5,0,60,F,20,7,0,84,24,Well
5,0,60,F,21,7,1,85,25,Well
5,0,60,F,22,7,2,86,26,Well
5,0,60,F,23,7,3,87,27,Well
5,0,60,F,24,7,4,88,28,Well
5,0,60,F,25,7,5,89,29,Well
5,0,60,F,26,7,6,90,30,Well
5,0,60,F,27,7,7,91,31,Well
5,0,60,F,28,7,8,92,32,Well
5,0,60,F,29,7,9,93,33,Well
5,0,60,F,30,8,0,96,36,Well
5,0,60,F,31,8,1,97,37,Well
5,0,60,F,32,8,2,98,38,Well
5,0,60,F,33,8,3,99,39,Well
5,0,60,F,34,8,4,100,40,Well
5,0,60,F,35,8,5,101,41,Well
5,0,60,F,36,8,6,102,42,Well
5,0,60,F,37,8,7,103,43,Well
5,0,60,F,38,8,8,104,44,Well
5,0,60,F,39,8,9,105,45,Well
5,0,60,F,40,9,0,108,48,Well
5,0,60,F,41,9,1,109,49,Well
5,0,60,F,42,9,2,110,50,Well
5,0,60,F,43,9,3,111,51,Well
5,0,60,F,44,9,4,112,52,Well
5,0,60,F,45,9,5,113,53,Well
5,0,60,F,46,9,6,114,54,Well
5,0,60,F,47,9,7,115,55,Well
5,0,60,F,48,9,8,116,56,Well
5,0,60,F,49,9,9,117,57,Well
5,0,60,F,50,10,0,120,60,Well
5,0,60,F,51,10,1,121,61,Well
5,0,60,F,52,10,2,122,62,Well
5,0,60,F,53,10,3,123,63,Well
5,0,60,F,54,10,4,124,64,Well
5,0,60,F,55,10,5,125,65,Well
5,0,60,F,56,10,6,126,66,Well
5,0,60,F,57,10,7,127,67,Well
5,0,60,F,58,10,8,128,68,Well
5,0,60,F,59,10,9,129,69,Well
5,0,60,F,60,11,0,132,72,Well
5,0,60,F,61,11,1,133,73,Well
5,0,60,F,62,11,2,134,74,Well
5,0,60,F,63,11,3,135,75,Well
5,0,60,F,64,11,4,136,76,Well
5,0,60,F,65,11,5,137,77,Well
5,0,60,F,66,11,6,138,78,Well
5,0,60,F,67,11,7,139,79,Well
5,0,60,F,68,11,8,140,80,Well
5,0,60,F,69,11,9,141,81,Well
5,0,60,F,70,12,0,144,84,Well
5,0,60,F,71,12,1,145,85,Well
5,0,60,F,72,12,2,146,86,Well
5,0,60,F,73,12,3,147,87,Well
5,0,60,F,74,12,4,148,88,Well
5,0,60,F,75,12,5,149,89,Well
5,0,60,F,76,12,6,150,90,Well
5,0,60,F,77,12,7,151,91,Well
5,0,60,F,78,12,8,152,92,Well
5,0,60,F,79,12,9,153,93,Well
5,0,60,F,80,13,0,156,96,Well
5,0,60,F,81,13,1,157,97,Well
5,0,60,F,82,13,2,158,98,Well
5,0,60,F,83,13,3,159,99,Well
5,0,60,F,84,13,4,160,100,Well
5,0,60,F,85,13,5,161,101,Well
5,0,60,F,86,13,6,162,102,Well
5,0,60,F,87,13,7,163,103,Well
5,0,60,F,88,13,8,164,104,Well
5,0,60,F,89,13,9,165,105,Well
5,0,60,F,90,14,0,168,108,Well
5,0,60,F,91,14,1,169,109,Well
5,0,60,F,92,14,2,170,110,Well
5,0,60,F,93,14,3,171,111,Well
5,0,60,F,94,14,4,172,112,Well
5,0,60,F,95,14,5,173,113,Well
5,0,60,F,96,14,6,174,114,Well
5,0,60,F,97,14,7,175,115,Well
5,0,60,F,98,14,8,176,116,Well
5,0,60,F,99,14,9,177,117,Well
5,0,60,F,100,15,0,180,120,Well
5,1,61,F,0,5,0,60,-1,Mild
5,1,61,F,1,5,1,61,0,Neutral
5,1,61,F,2,5,2,62,1,Good
5,1,61,F,3,5,3,63,2,Good
5,1,61,F,4,5,4,64,3,Good
5,1,61,F,5,5,5,65,4,Good
5,1,61,F,6,5,6,66,5,Good
5,1,61,F,7,5,7,67,6,Well
5,1,61,F,8,5,8,68,7,Well
5,1,61,F,9,5,9,69,8,Well
5,1,61,F,10,6,0,72,11,Well
5,1,61,F,11,6,1,73,12,Well
5,1,61,F,12,6,2,74,13,Well
5,1,61,F,13,6,3,75,14,Well
5,1,61,F,14,6,4,76,15,Well
5,1,61,F,15,6,5,77,16,Well
5,1,61,F,16,6,6,78,17,Well
5,1,61,F,17,6,7,79,18,Well
5,1,61,F,18,6,8,80,19,Well
5,1,61,F,19,6,9,81,20,Well
5,1,61,F,20,7,0,84,23,Well
5,1,61,F,21,7,1,85,24,Well
5,1,61,F,22,7,2,86,25,Well
5,1,61,F,23,7,3,87,26,Well
5,1,61,F,24,7,4,88,27,Well
5,1,61,F,25,7,5,89,28,Well
5,1,61,F,26,7,6,90,29,Well
5,1,61,F,27,7,7,91,30,Well
5,1,61,F,28,7,8,92,31,Well
5,1,61,F,29,7,9,93,32,Well
5,1,61,F,30,8,0,96,35,Well
5,1,61,F,31,8,1,97,36,Well
5,1,61,F,32,8,2,98,37,Well
5,1,61,F,33,8,3,99,38,Well
5,1,61,F,34,8,4,100,39,Well
5,1,61,F,35,8,5,101,40,Well
5,1,61,F,36,8,6,102,41,Well
5,1,61,F,37,8,7,103,42,Well
5,1,61,F,38,8,8,104,43,Well
5,1,61,F,39,8,9,105,44,Well
5,1,61,F,40,9,0,108,47,Well
5,1,61,F,41,9,1,109,48,Well
5,1,61,F,42,9,2,110,49,Well
5,1,61,F,43,9,3,111,50,Well
5,1,61,F,44,9,4,112,51,Well
5,1,61,F,45,9,5,113,52,Well
5,1,61,F,46,9,6,114,53,Well
5,1,61,F,47,9,7,115,54,Well
5,1,61,F,48,9,8,116,55,Well
5,1,61,F,49,9,9,117,56,Well
5,1,61,F,50,10,0,120,59,Well
5,1,61,F,51,10,1,121,60,Well
5,1,61,F,52,10,2,122,61,Well
5,1,61,F,53,10,3,123,62,Well
5,1,61,F,54,10,4,124,63,Well
5,1,61,F,55,10,5,125,64,Well
5,1,61,F,56,10,6,126,65,Well
5,1,61,F,57,10,7,127,66,Well
5,1,61,F,58,10,8,128,67,Well
5,1,61,F,59,10,9,129,68,Well
5,1,61,F,60,11,0,132,71,Well
5,1,61,F,61,11,1,133,72,Well
5,1,61,F,62,11,2,134,73,Well
5,1,61,F,63,11,3,135,74,Well
5,1,61,F,64,11,4,136,75,Well
5,1,61,F,65,11,5,137,76,Well
5,1,61,F,66,11,6,138,77,Well
5,1,61,F,67,11,7,139,78,Well
5,1,61,F,68,11,8,140,79,Well
5,1,61,F,69,11,9,141,80,Well
5,1,61,F,70,12,0,144,83,Well
5,1,61,F,71,12,1,145,84,Well
5,1,61,F,72,12,2,146,85,Well
5,1,61,F,73,12,3,147,86,Well
5,1,61,F,74,12,4,148,87,Well
5,1,61,F,75,12,5,149,88,Well
5,1,61,F,76,12,6,150,89,Well
5,1,61,F,77,12,7,151,90,Well
5,1,61,F,78,12,8,152,91,Well
5,1,61,F,79,12,9,153,92,Well
5,1,61,F,80,13,0,156,95,Well
5,1,61,F,81,13,1,157,96,Well
5,1,61,F,82,13,2,158,97,Well
5,1,61,F,83,13,3,159,98,Well
5,1,61,F,84,13,4,160,99,Well
5,1,61,F,85,13,5,161,100,Well
5,1,61,F,86,13,6,162,101,Well
5,1,61,F,87,13,7,163,102,Well
5,1,61,F,88,13,8,164,103,Well
5,1,61,F,89,13,9,165,104,Well
5,1,61,F,90,14,0,168,107,Well
5,1,61,F,91,14,1,169,108,Well
5,1,61,F,92,14,2,170,109,Well
5,1,61,F,93,14,3,171,110,Well
5,1,61,F,94,14,4,172,111,Well
5,1,61,F,95,14,5,173,112,Well
5,1,61,F,96,14,6,174,113,Well
5,1,61,F,97,14,7,175,114,Well
5,1,61,F,98,14,8,176,115,Well
5,1,61,F,99,14,9,177,116,Well
5,1,61,F,100,15,0,180,119,Well
5,2,62,F,0,5,0,60,-2,Mild
5,2,62,F,1,5,1,61,-1,Mild
5,2,62,F,2,5,2,62,0,Neutral
5,2,62,F,3,5,3,63,1,Good
5,2,62,F,4,5,4,64,2,Good
5,2,62,F,5,5,5,65,3,Good
5,2,62,F,6,5,6,66,4,Good
5,2,62,F,7,5,7,67,5,Good
5,2,62,F,8,5,8,68,6,Well
5,2,62,F,9,5,9,69,7,Well
5,2,62,F,10,6,0,72,10,Well
5,2,62,F,11,6,1,73,11,Well
5,2,62,F,12,6,2,74,12,Well
5,2,62,F,13,6,3,75,13,Well
5,2,62,F,14,6,4,76,14,Well
5,2,62,F,15,6,5,77,15,Well
5,2,62,F,16,6,6,78,16,Well
5,2,62,F,17,6,7,79,17,Well
5,2,62,F,18,6,8,80,18,Well
5,2,62,F,19,6,9,81,19,Well
5,2,62,F,20,7,0,84,22,Well
5,2,62,F,21,7,1,85,23,Well
5,2,62,F,22,7,2,86,24,Well
5,2,62,F,23,7,3,87,25,Well
5,2,62,F,24,7,4,88,26,Well
5,2,62,F,25,7,5,89,27,Well
5,2,62,F,26,7,6,90,28,Well
5,2,62,F,27,7,7,91,29,Well
5,2,62,F,28,7,8,92,30,Well
5,2,62,F,29,7,9,93,31,Well
5,2,62,F,30,8,0,96,34,Well
5,2,62,F,31,8,1,97,35,Well
5,2,62,F,32,8,2,98,36,Well
5,2,62,F,33,8,3,99,37,Well
5,2,62,F,34,8,4,100,38,Well
5,2,62,F,35,8,5,101,39,Well
5,2,62,F,36,8,6,102,40,Well
5,2,62,F,37,8,7,103,41,Well
5,2,62,F,38,8,8,104,42,Well
5,2,62,F,39,8,9,105,43,Well
5,2,62,F,40,9,0,108,46,Well
5,2,62,F,41,9,1,109,47,Well
5,2,62,F,42,9,2,110,48,Well
5,2,62,F,43,9,3,111,49,Well
5,2,62,F,44,9,4,112,50,Well
5,2,62,F,45,9,5,113,51,Well
5,2,62,F,46,9,6,114,52,Well
5,2,62,F,47,9,7,115,53,Well
5,2,62,F,48,9,8,116,54,Well
5,2,62,F,49,9,9,117,55,Well
5,2,62,F,50,10,0,120,58,Well
5,2,62,F,51,10,1,121,59,Well
5,2,62,F,52,10,2,122,60,Well
5,2,62,F,53,10,3,123,61,Well
5,2,62,F,54,10,4,124,62,Well
5,2,62,F,55,10,5,125,63,Well
5,2,62,F,56,10,6,126,64,Well
5,2,62,F,57,10,7,127,65,Well
5,2,62,F,58,10,8,128,66,Well
5,2,62,F,59,10,9,129,67,Well
5,2,62,F,60,11,0,132,70,Well
5,2,62,F,61,11,1,133,71,Well
5,2,62,F,62,11,2,134,72,Well
5,2,62,F,63,11,3,135,73,Well
5,2,62,F,64,11,4,136,74,Well
5,2,62,F,65,11,5,137,75,Well
5,2,62,F,66,11,6,138,76,Well
5,2,62,F,67,11,7,139,77,Well
5,2,62,F,68,11,8,140,78,Well
5,2,62,F,69,11,9,141,79,Well
5,2,62,F,70,12,0,144,82,Well
5,2,62,F,71,12,1,145,83,Well
5,2,62,F,72,12,2,146,84,Well
5,2,62,F,73,12,3,147,85,Well
5,2,62,F,74,12,4,148,86,Well
5,2,62,F,75,12,5,149,87,Well
5,2,62,F,76,12,6,150,88,Well
5,2,62,F,77,12,7,151,89,Well
5,2,62,F,78,12,8,152,90,Well
5,2,62,F,79,12,9,153,91,Well
5,2,62,F,80,13,0,156,94,Well
5,2,62,F,81,13,1,157,95,Well
5,2,62,F,82,13,2,158,96,Well
5,2,62,F,83,13,3,159,97,Well
5,2,62,F,84,13,4,160,98,Well
5,2,62,F,85,13,5,161,99,Well
5,2,62,F,86,13,6,162,100,Well
5,2,62,F,87,13,7,163,101,Well
5,2,62,F,88,13,8,164,102,Well
5,2,62,F,89,13,9,165,103,Well
5,2,62,F,90,14,0,168,106,Well
5,2,62,F,91,14,1,169,107,Well
5,2,62,F,92,14,2,170,108,Well
5,2,62,F,93,14,3,171,109,Well
5,2,62,F,94,14,4,172,110,Well
5,2,62,F,95,14,5,173,111,Well
5,2,62,F,96,14,6,174,112,Well
5,2,62,F,97,14,7,175,113,Well
5,2,62,F,98,14,8,176,114,Well
5,2,62,F,99,14,9,177,115,Well
5,2,62,F,100,15,0,180,118,Well
5,3,63,F,0,5,0,60,-3,Mild
5,3,63,F,1,5,1,61,-2,Mild
5,3,63,F,2,5,2,62,-1,Mild
5,3,63,F,3,5,3,63,0,Neutral
5,3,63,F,4,5,4,64,1,Good
5,3,63,F,5,5,5,65,2,Good
5,3,63,F,6,5,6,66,3,Good
5,3,63,F,7,5,7,67,4,Good
5,3,63,F,8,5,8,68,5,Good
5,3,63,F,9,5,9,69,6,Well
5,3,63,F,10,6,0,72,9,Well
5,3,63,F,11,6,1,73,10,Well
5,3,63,F,12,6,2,74,11,Well
5,3,63,F,13,6,3,75,12,Well
5,3,63,F,14,6,4,76,13,Well
5,3,63,F,15,6,5,77,14,Well
5,3,63,F,16,6,6,78,15,Well
5,3,63,F,17,6,7,79,16,Well
5,3,63,F,18,6,8,80,17,Well
5,3,63,F,19,6,9,81,18,Well
5,3,63,F,20,7,0,84,21,Well
5,3,63,F,21,7,1,85,22,Well
5,3,63,F,22,7,2,86,23,Well
