w,Gender,Disability
2.5,Female,YES
5,Female,YES
7.5,Female,YES
10,Female,YES
12.5,Female,YES
15,Female,YES
17.5,Female,YES
20,Female,YES
22.5,Female,YES
25,Female,YES
27.5,Female,YES
30,Female,YES
32.5,Female,YES
35,Female,YES
37.5,Female,YES
40,Female,YES
42.5,Female,YES
45,Female,YES
47.5,Female,YES
50,Female,YES
52.5,Female,YES
55,Female,YES
57.5,Female,YES
60,Female,YES
62.5,Female,YES
65,Female,YES
67.5,Female,YES
70,Female,NO
72.5,Female,NO
75,Female,NO
77.5,Female,NO
80,Female,NO
82.5,Female,NO
85,Female,NO
87.5,Female,NO
90,Female,NO
92.5,Female,NO
95,Female,NO
97.5,Female,NO
100,Female,NO
2.5,Male,YES
5,Male,YES
7.5,Male,YES
10,Male,YES
12.5,Male,YES
15,Male,YES
17.5,Male,YES
20,Male,YES
22.5,Male,YES
25,Male,YES
27.5,Male,YES
30,Male,YES
32.5,Male,YES
35,Male,YES
37.5,Male,YES
40,Male,YES
42.5,Male,YES
45,Male,YES
47.5,Male,YES
50,Male,YES
52.5,Male,YES
55,Male,YES
57.5,Male,YES
60,Male,YES
62.5,Male,YES
65,Male,YES
67.5,Male,YES
70,Male,NO
72.5,Male,NO
75,Male,NO
77.5,Male,NO
80,Male,NO
82.5,Male,NO
85,Male,NO
87.5,Male,NO
90,Male,NO
92.5,Male,NO
95,Male,NO
97.5,Male,NO
100,Male,NO
